Location,Region,District,Street,Price,Views,Area,Rooms,Floors,Bathrooms,Building_type,Ceiling_height,Condition,Date_added,Date_edited,Date_scraped,Latitude,Longitude,Address,Facilities,Additional_info,url,On_request,Price_sqm,Error,Floor,Storeys,Listing_type,Property_type,Platform_name,Airconditioner,Canalization,Centralheating,Electricity,Gas,Heating,Hotwater,Internet,Irrigation,Sewerage,Water,Water24_7,Attic,Balcony,Basement,Bilateral,Buildingexistence,Closetothebusstation,Elevator,Equipment,Eurowindows,Fence,Fireplace,Furniture,Garage,Gate,Grating,Gym,Heatedfloor,Heater,Highfirstfloor,Irondoor,Laminateflooring,Loggia,Openbalcony,Park,Parking,Parquet,Playground,Roadside,Sauna,Securitysystem,Storageroom,Sunny,Swimmingpool,Tile,Has_view
"Yerevan, Norq Marash, Norq 7 St",Yerevan, Norq Marash, Norq 7 St,3000.0,1132,600,5,3,4,Stone,3.2,Newly repaired,23.07.2021,23.07.2021,08.05.2022,40.183333,44.516667,"32, Թումանյան փողոց, Կենտրոն, Երևան, 0001, Հայաստան","Heating,Internet,Hotwater,Irrigation,Sewerage,Canalization,Electricity,Air-conditioner,Centralheating,Gas,Water,water24/7","Furniture,Equipment,Heater,Fireplace,Eurowindows,Grating,Irondoor,Openbalcony,Storageroom,Attic,Basement,Tile,Parquet,Heatedfloor,Securitysystem,Gym,Swimmingpool,Sunny,View,Roadside,Parking,Garage,Gate,Fence,Highfirstfloor,Sauna",https://myrealty.am/en/house-for-rent/Norq+7+St/Norq+Marash/Yerevan/112801,0,,0,,,for rent,house,myrealty.am,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,0,1,1,1,1,1,1,1,1
"Yerevan, Center, Proshyan 1 alley",Yerevan, Center, Proshyan 1 alley,3500.0,1041,387,7,3,3,Stone,3.0,Newly repaired,22.07.2021,24.09.2021,08.05.2022,40.183333,44.516667,"32, Թումանյան փողոց, Կենտրոն, Երևան, 0001, Հայաստան","Heating,Hotwater,Sewerage,Canalization,Electricity,Gas,Water,water24/7","Furniture,Equipment,Eurowindows,Irondoor,Sunny,View,Roadside",https://myrealty.am/en/house-for-rent/Proshyan+1+alley/Center/Yerevan/113472,0,,0,,,for rent,house,myrealty.am,0,1,0,1,1,1,1,0,0,1,1,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1
"Yerevan, Avan, Mher Mkrtchyan",Yerevan, Avan, Mher Mkrtchyan,2700.0,1677,1200,6,3,5,Monolit,3.2,Newly repaired,17.07.2021,24.09.2021,08.05.2022,40.183333,44.516667,"32, Թումանյան փողոց, Կենտրոն, Երևան, 0001, Հայաստան","Heating,Internet,Hotwater,Sewerage,Canalization,Electricity,Air-conditioner,Gas,Water,water24/7","Furniture,Equipment,Eurowindows,Irondoor,Openbalcony,Attic,Basement,Tile,Laminateflooring,Heatedfloor,Securitysystem,Sunny,View,Bilateral,Gate,Fence",https://myrealty.am/en/new-build-house-for-rent/Mher+Mkrtchyan/Avan/Yerevan/112641,0,,0,,,for rent,house,myrealty.am,1,1,0,1,1,1,1,1,0,1,1,1,1,0,1,1,0,0,0,1,1,1,0,1,0,1,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,1,0,1,0,1,1
"Yerevan, Vahagni district, Vahakni District",Yerevan, Vahagni district, Vahakni District,2900.0,1259,260,5,2,3,Stone,3.0,Newly repaired,10.07.2021,24.09.2021,08.05.2022,40.183333,44.516667,"32, Թումանյան փողոց, Կենտրոն, Երևան, 0001, Հայաստան","Heating,Hotwater,Electricity,Gas,Water,water24/7","Furniture,Equipment,Eurowindows,Irondoor,Tile,Parquet,Securitysystem,Sunny,Garage",https://myrealty.am/en/house-for-rent/Vahakni+District/Vahagni+district/Yerevan/112441,0,,0,,,for rent,house,myrealty.am,0,0,0,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0
"Yerevan, Avan, M. Babajanyan St",Yerevan, Avan, M. Babajanyan St,3000.0,1519,400,5,2,3,Monolit,3.0,Newly repaired,02.07.2021,24.09.2021,08.05.2022,40.2195686,44.5648663,"7/7, Մարշալ Բաբաջանյանի փողոց, Ավան, Երևան, 0040, Հայաստան","Heating,Internet,Hotwater,Sewerage,Canalization,Electricity,Air-conditioner,Gas,Water,water24/7","Furniture,Equipment,Eurowindows,Irondoor,Openbalcony,Securitysystem,Sunny,View,Bilateral,Closetothebusstation,Garage,Buildingexistence,Gate,Fence",https://myrealty.am/en/new-build-house-for-rent/M.+Babajanyan+St/Avan/Yerevan/112256,0,,0,,,for rent,house,bars.am,1,1,0,1,1,1,1,1,0,1,1,1,0,0,0,1,1,1,0,1,1,1,0,1,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1
"Yerevan, Davtashen, Melqumov St",Yerevan, Davtashen, Melqumov St,2800.0,1348,915,5,4,2,Monolit,3.0,Newly repaired,28.06.2021,28.06.2021,08.05.2022,40.2150112,44.4711614,"27/2, Մելքումովի փողոց, Աջափնյակ, Երևան, 0097, Հայաստան","Heating,Internet,Hotwater,Electricity,Air-conditioner,Gas,Water,water24/7","Furniture,Equipment,Eurowindows,Irondoor,Openbalcony,Tile,Parquet,Sunny,View,Closetothebusstation,Playground,Park",https://myrealty.am/en/new-build-house-for-rent/Melqumov+St/Davtashen/Yerevan/112155,0,,0,,,for rent,house,bars.am,1,0,0,1,1,1,1,1,0,0,1,1,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,1,1,0,0,0,0,1,0,1,1
"Yerevan, Nor Norq, Gyurjyan St",Yerevan, Nor Norq, Gyurjyan St,1500.0,1648,500,3,1,1,Other,2.8,Good,28.06.2021,28.06.2021,08.05.2022,40.1908407,44.559417,"27, Գյուրջյան փողոց, Նոր Նորք, Երևան, 0056, Հայաստան","Water,water24/7,Electricity","Equipment,Furniture",https://myrealty.am/en/house-for-rent/Gyurjyan+St/Nor+Norq/Yerevan/112143,0,,0,,,for rent,house,myrealty.am,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Yerevan, Avan, Tsarav Aghbyur St",Yerevan, Avan, Tsarav Aghbyur St,7000.0,1368,1100,4,3,3,Other,2.8,Newly repaired,15.06.2021,23.11.2021,08.05.2022,40.183333,44.516667,"32, Թումանյան փողոց, Կենտրոն, Երևան, 0001, Հայաստան","Heating,Internet,Hotwater,Irrigation,Sewerage,Canalization,Electricity,Gas,Water,water24/7","Furniture,Equipment,Fireplace,Eurowindows,Grating,Irondoor,Loggia,Openbalcony,Basement,Tile,Parquet,Heatedfloor,Securitysystem,Swimmingpool,Sunny,View,Bilateral,Closetothebusstation,Garage,Playground,Park,Gate,Fence,Highfirstfloor,Sauna",https://myrealty.am/en/house-for-rent/Tsarav+Aghbyur+St/Avan/Yerevan/111718,0,,0,,,for rent,house,myrealty.am,0,1,0,1,1,1,1,1,1,1,1,1,0,0,1,1,0,1,0,1,1,1,1,1,1,1,1,0,1,0,1,1,0,1,1,1,0,1,1,0,1,1,0,1,1,1,1
"Yerevan, Nor Norq, Moldovakan St",Yerevan, Nor Norq, Moldovakan St,3000.0,1362,3000,1,3,1,Stone,3.0,Newly repaired,15.06.2021,15.06.2021,08.05.2022,40.183333,44.516667,"32, Թումանյան փողոց, Կենտրոն, Երևան, 0001, Հայաստան","Heating,Hotwater,Electricity,Gas,water24/7","Swimmingpool,Sunny,View,Roadside,Closetothebusstation",https://myrealty.am/en/house-for-rent/Moldovakan+St/Nor+Norq/Yerevan/111692,0,,0,,,for rent,house,bars.am,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1
"Yerevan, Avan, Tsarav Aghbyur St",Yerevan, Avan, Tsarav Aghbyur St,1500.0,1817,190,4,1,1,Stone,3.0,Newly repaired,14.06.2021,20.08.2021,08.05.2022,40.215894,44.5563975,"139, Ծարավ Աղբյուրի փողոց, Ավան, Երևան, 0040, Հայաստան","Water,water24/7,Electricity,Hotwater,Gas,Heating","Equipment,Furniture",https://myrealty.am/en/house-for-rent/Tsarav+Aghbyur+St/Avan/Yerevan/111651,0,,0,,,for rent,house,myrealty.am,0,0,0,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Yerevan, Norq Marash, Norq 8 St",Yerevan, Norq Marash, Norq 8 St,10000.0,1791,2500,7,4,4,Stone,2.8,Newly repaired,07.06.2021,24.09.2021,08.05.2022,40.184564,44.5407877,"Policlinic № 5, Արմենակ Արմենակյան փողոց, Նորք Մարաշ, Երևան, 0047, Հայաստան","Heating,Internet,Hotwater,Irrigation,Sewerage,Canalization,Electricity,Air-conditioner,Centralheating,Gas,Water,water24/7","Furniture,Equipment,Fireplace,Eurowindows,Irondoor,Openbalcony,Tile,Laminateflooring,Parquet,Heatedfloor,Securitysystem,Swimmingpool,Sunny,View,Roadside,Closetothebusstation,Parking,Garage,Playground,Park,Gate,Fence,Sauna",https://myrealty.am/en/house-for-rent/Norq+8+St/Norq+Marash/Yerevan/111295,0,,0,,,for rent,house,bars.am,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,0,1,1,1,1,1,1,1,0,0,1,0,0,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1
"Yerevan, Nor Norq, Jrvej district",Yerevan, Nor Norq, Jrvej district,3000.0,1699,1400,6,2,3,Stone,3.0,Newly repaired,05.06.2021,23.06.2021,08.05.2022,40.1848526,44.5981861,"62, Ջրվեժի 13֊րդ փողոց, Ջրվեժ, Գառնու տարածաշրջան, Կոտայքի մարզ, 0089, Հայաստան","Heating,Internet,Hotwater,Sewerage,Canalization,Electricity,Air-conditioner,Gas,Water,water24/7","Furniture,Equipment,Eurowindows,Irondoor,Openbalcony,Tile,Parquet,Swimmingpool,Sunny,View,Parking,Playground,Gate,Fence",https://myrealty.am/en/house-for-rent/Jrvej+district/Nor+Norq/Yerevan/111242,0,,0,,,for rent,house,myrealty.am,1,1,0,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,1,1,1,0,1,0,1,0,0,0,0,0,1,0,0,1,0,1,1,1,0,0,0,0,1,1,1,1
"Yerevan, Nor Norq, Mar St",Yerevan, Nor Norq, Mar St,300.0,1915,80,2,2,2,Other,2.8,Newly repaired,31.05.2021,13.11.2021,08.05.2022,40.183333,44.516667,"32, Թումանյան փողոց, Կենտրոն, Երևան, 0001, Հայաստան","Water,water24/7,Electricity,Hotwater,Gas,Heating","Equipment,Furniture",https://myrealty.am/en/house-for-rent/Mar+St/Nor+Norq/Yerevan/110976,0,,0,,,for rent,house,myrealty.am,0,0,0,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Yerevan, Achapnyak, Fuchik St",Yerevan, Achapnyak, Fuchik St,350.0,2004,96,4,1,2,Stone,2.8,Good,25.05.2021,25.05.2021,08.05.2022,40.183333,44.516667,"32, Թումանյան փողոց, Կենտրոն, Երևան, 0001, Հայաստան","Heating,Internet,Hotwater,Sewerage,Canalization,Electricity,Gas,Water,water24/7","Eurowindows,Grating,Irondoor,Tile,Heatedfloor,Sunny,Bilateral,Roadside,Closetothebusstation,Parking,Playground,Park",https://myrealty.am/en/house-for-rent/Fuchik+St/Achapnyak/Yerevan/110787,0,,0,,,for rent,house,myrealty.am,0,1,0,1,1,1,1,1,0,1,1,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,1,0,1,1,0,0,0,1,0,1,0
"Yerevan, Norq Marash, Norq 9 St",Yerevan, Norq Marash, Norq 9 St,2000.0,1761,370,7,3,4,Stone,3.0,Newly repaired,25.05.2021,23.06.2021,08.05.2022,40.1791062,44.5427135,"84a, Նորքի 9-րդ փողոց, Նորք Մարաշ, Երևան, 0047, Հայաստան","Heating,Hotwater,Electricity,Gas,Water,water24/7","Furniture,Equipment,Eurowindows,Openbalcony,Tile,Parquet,Sunny,View,Closetothebusstation",https://myrealty.am/en/house-for-rent/Norq+9+St/Norq+Marash/Yerevan/110764,0,,0,,,for rent,house,bars.am,0,0,0,1,1,1,1,0,0,0,1,1,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,1
"Yerevan, Arabkir, Aygedzor St",Yerevan, Arabkir, Aygedzor St,1800.0,1980,470,7,4,3,Stone,3.2,Good,24.05.2021,24.05.2021,08.05.2022,40.183333,44.516667,"32, Թումանյան փողոց, Կենտրոն, Երևան, 0001, Հայաստան","Heating,Hotwater,Electricity,Gas,water24/7","Fireplace,Eurowindows,Irondoor,Openbalcony,Sunny,View,Bilateral,Closetothebusstation,Garage,Gate,Fence",https://myrealty.am/en/house-for-rent/Aygedzor+St/Arabkir/Yerevan/110707,0,,0,,,for rent,house,myrealty.am,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,0,1,0,0,1,1,1,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1
"Yerevan, Arabkir, Sose St",Yerevan, Arabkir, Sose St,2000.0,1756,1000,4,3,3,Stone,3.2,Newly repaired,24.05.2021,24.05.2021,08.05.2022,40.183333,44.516667,"32, Թումանյան փողոց, Կենտրոն, Երևան, 0001, Հայաստան","water24/7,Air-conditioner,Hotwater,Gas,Heating","Eurowindows,Basement,Openbalcony,Equipment,Furniture",https://myrealty.am/en/house-for-rent/Sose+St/Arabkir/Yerevan/110699,0,,0,,,for rent,house,myrealty.am,1,0,0,0,1,1,1,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"Yerevan, Arabkir, N. Zaryan St",Yerevan, Arabkir, N. Zaryan St,1500.0,1632,260,5,3,4,Stone,3.0,Newly repaired,24.05.2021,24.05.2021,08.05.2022,40.183333,44.516667,"32, Թումանյան փողոց, Կենտրոն, Երևան, 0001, Հայաստան","Heating,Internet,Hotwater,Electricity,Gas,water24/7","Fireplace,Irondoor,Openbalcony,Attic,Securitysystem,Gym,Sunny,View,Bilateral,Closetothebusstation,Garage,Gate,Fence",https://myrealty.am/en/house-for-rent/N.+Zaryan+St/Arabkir/Yerevan/110692,0,,0,,,for rent,house,bars.am,0,0,0,1,1,1,1,1,0,0,0,1,1,0,0,1,0,1,0,0,0,1,1,0,1,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1
"Yerevan, Norq Marash, Armenak Armenakyan St",Yerevan, Norq Marash, Armenak Armenakyan St,6000.0,1596,850,5,3,3,Stone,3.0,Newly repaired,18.05.2021,18.05.2021,08.05.2022,40.1863169,44.5358961,"92, Արմենակ Արմենակյան փողոց, Նորք Մարաշ, Երևան, 0047, Հայաստան","Heating,Internet,Hotwater,Electricity,Air-conditioner,Centralheating,Gas,Water,water24/7","Furniture,Equipment,Eurowindows,Openbalcony,Storageroom,Tile,Securitysystem,Swimmingpool,Sunny,View,Roadside,Closetothebusstation,Playground,Park,Gate,Fence,Sauna",https://myrealty.am/en/house-for-rent/Armenak+Armenakyan+St/Norq+Marash/Yerevan/110413,0,,0,,,for rent,house,myrealty.am,1,0,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0,1,0,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,1,1,1,1,1,1
"Yerevan, Norq Marash, Norq 7 St",Yerevan, Norq Marash, Norq 7 St,3000.0,2093,1300,6,2,3,Stone,2.8,Newly repaired,08.05.2021,08.05.2021,08.05.2022,40.1858968,44.5460761,"17, Նորքի 7-րդ փողոց, Նորք Մարաշ, Երևան, 0047, Հայաստան","Heating,Internet,Hotwater,Electricity,Air-conditioner,Centralheating,Gas,Water,water24/7","Furniture,Equipment,Eurowindows,Grating,Openbalcony,Tile,Securitysystem,Swimmingpool,Sunny,View,Roadside,Closetothebusstation,Parking,Playground,Park,Gate,Fence",https://myrealty.am/en/house-for-rent/Norq+7+St/Norq+Marash/Yerevan/110041,0,,0,,,for rent,house,myrealty.am,1,0,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0,1,0,1,1,1,0,1,0,1,1,0,0,0,0,0,0,0,1,1,1,0,1,1,0,1,0,1,1,1,1
"Yerevan, Achapnyak, Nazarbekyan district",Yerevan, Achapnyak, Nazarbekyan district,5000.0,2050,850,6,3,4,Monolit,3.2,Newly repaired,07.05.2021,07.05.2021,08.05.2022,40.2133293,44.4595104,"27/3, Նազարբեկյան թաղամաս, Նազարբեկյան (17-րդ թաղամաս), Աջափնյակ, Երևան, 0057, Հայաստան","Heating,Internet,Hotwater,Electricity,Air-conditioner,Centralheating,Gas,Water,water24/7","Furniture,Eurowindows,Irondoor,Openbalcony,Tile,Sunny,View,Roadside,Closetothebusstation,Playground,Park,Elevator",https://myrealty.am/en/new-build-house-for-rent/Nazarbekyan+district/Achapnyak/Yerevan/110027,0,,0,,,for rent,house,myrealty.am,1,0,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,1,0,0,0,1,0,1,1
"Yerevan, Vahagni district, Hrazdan St",Yerevan, Vahagni district, Hrazdan St,4500.0,1736,1537,7,3,5,Monolit,2.8,Newly repaired,04.05.2021,04.05.2021,08.05.2022,40.2149231,44.4516989,"Նեմրութի փողոց, Վահագնի թաղամաս, Աջափնյակ, Երևան, 0088, Հայաստան","Heating,Internet,Hotwater,Irrigation,Sewerage,Canalization,Electricity,Air-conditioner,Gas,Water,water24/7","Furniture,Equipment,Heater,Fireplace,Eurowindows,Grating,Irondoor,Openbalcony,Tile,Parquet,Securitysystem,Gym,Swimmingpool,Sunny,View,Bilateral,Closetothebusstation,Parking,Garage,Playground,Park,Buildingexistence,Gate,Fence",https://myrealty.am/en/new-build-house-for-rent/Hrazdan+St/Vahagni+district/Yerevan/109837,0,,0,,,for rent,house,bars.am,1,1,0,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,0,1,0,0,1,1,1,1,1,0,0,1,0,1,1,1,1
"Yerevan, Arabkir, Kievyan 1 alley",Yerevan, Arabkir, Kievyan 1 alley,3000.0,1544,330,5,3,5,Stone,3.0,Newly repaired,03.05.2021,03.05.2021,08.05.2022,40.20583092,44.50554626,"29/3, Կոմիտասի պողոտա, Արաբկիր, Երևան, 0012, Հայաստան","Heating,Hotwater,Electricity,Gas,Water,water24/7","Furniture,Equipment,Eurowindows,Loggia,Openbalcony,Tile,Parquet,Sunny,View,Roadside,Closetothebusstation,Park",https://myrealty.am/en/house-for-rent/Kievyan+1+alley/Arabkir/Yerevan/109959,0,,0,,,for rent,house,myrealty.am,0,0,0,1,1,1,1,0,0,0,1,1,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,1,0,0,0,1,0,1,1
"Yerevan, Erebuni, Erebuni St",Yerevan, Erebuni, Erebuni St,4500.0,2076,700,7,4,4,Other,2.8,Newly repaired,03.05.2021,28.05.2021,08.05.2022,40.1417905,44.5226384,"Ucom, 20/52, Էրեբունու փողոց, Էրեբունի, Երևան, 0020, Հայաստան","Heating,Internet,Hotwater,Electricity,Air-conditioner,Centralheating,Gas,Water,water24/7","Furniture,Equipment,Eurowindows,Openbalcony,Basement,Tile,Laminateflooring,Parquet,Securitysystem,Gym,Swimmingpool,Sunny,View,Roadside,Closetothebusstation,Parking,Garage,Playground,Park",https://myrealty.am/en/new-build-house-for-rent/Erebuni+St/Erebuni/Yerevan/109756,0,,0,,,for rent,house,bars.am,1,0,1,1,1,1,1,1,0,0,1,1,0,0,1,0,0,1,0,1,1,0,0,1,1,0,0,1,0,0,0,0,1,0,1,1,1,1,1,1,0,1,0,1,1,1,1
"Yerevan, Arabkir, Aygedzor St",Yerevan, Arabkir, Aygedzor St,550.0,1655,200,3,1,1,Stone,2.8,Newly repaired,30.04.2021,30.04.2021,08.05.2022,40.1927486,44.4968819,"69, Այգեձորի փողոց, Արաբկիր, Երևան, 0019, Հայաստան","Heating,Internet,Hotwater,Electricity,Air-conditioner,Gas,Water,water24/7","Furniture,Equipment,Eurowindows,Parquet,Sunny,View,Closetothebusstation",https://myrealty.am/en/house-for-rent/Aygedzor+St/Arabkir/Yerevan/109712,0,,0,,,for rent,house,myrealty.am,1,0,0,1,1,1,1,1,0,0,1,1,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1
"Kotayk, Ptghni, Verin Ptghni",Kotayk, Ptghni, Verin Ptghni,7000.0,1066,6300,7,3,5,Stone,3.2,Newly repaired,26.04.2021,07.08.2021,08.05.2022,40.183333,44.516667,"32, Թումանյան փողոց, Կենտրոն, Երևան, 0001, Հայաստան","Heating,Internet,Hotwater,Irrigation,Sewerage,Canalization,Electricity,Air-conditioner,Gas,Water,water24/7","Furniture,Equipment,Heater,Fireplace,Eurowindows,Grating,Irondoor,Loggia,Openbalcony,Balcony,Storageroom,Basement,Tile,Laminateflooring,Parquet,Heatedfloor,Securitysystem,Gym,Swimmingpool,Sunny,View,Bilateral,Roadside,Garage,Playground,Park,Buildingexistence,Gate,Fence,Sauna",https://myrealty.am/en/house-for-rent/Verin+Ptghni/Ptghni/Kotayk/113287,0,,0,,,for rent,house,myrealty.am,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1
"Yerevan, Arabkir, Aygedzor alley",Yerevan, Arabkir, Aygedzor alley,2700.0,1891,1000,4,3,3,Monolit,3.0,Newly repaired,20.04.2021,20.04.2021,08.05.2022,40.1916003,44.4976162,"53a, Այգեձորի փողոց, Արաբկիր, Երևան, 0019, Հայաստան","Heating,Electricity,Gas,Water,water24/7","Furniture,Equipment,Eurowindows,Openbalcony,Tile,Sunny,View,Closetothebusstation",https://myrealty.am/en/house-for-rent/Aygedzor+alley/Arabkir/Yerevan/109309,0,,0,,,for rent,house,bars.am,0,0,0,1,1,1,0,0,0,0,1,1,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1
"Yerevan, Davtashen, Davtashen 2 district",Yerevan, Davtashen, Davtashen 2 district,2500.0,585,620,5,2,2,Other,2.8,Good,23.02.2022,23.02.2022,08.05.2022,40.2254881,44.4946577,"Архив ЗАГСА РА., 16/3, Դավթաշենի 2-րդ զանգված, Դավթաշենի 2-րդ թաղամաս, Դավթաշեն, Երևան, 0054, Հայաստան","Heating,Internet,Hotwater,Electricity,Air-conditioner,Centralheating,Gas,Water,water24/7","Furniture,Equipment,Eurowindows,Openbalcony,Tile,Sunny,View,Roadside,Closetothebusstation,Playground,Park",https://myrealty.am/en/house-for-rent/Davtashen+2+district/Davtashen/Yerevan/119189,0,,0,,,for rent,house,myrealty.am,1,0,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,1,0,1,1
"Yerevan, Avan, Avan-Arinj 2 micro",Yerevan, Avan, Avan-Arinj 2 micro,2500.0,796,378,4,3,3,Stone,3.0,Newly repaired,12.02.2022,12.02.2022,08.05.2022,40.223916,44.5715106,"2/5, Ավան-Առինջ 1-ին միկրոշրջան, Ավան, Երևան, 0022, Հայաստան","Heating,Internet,Hotwater,Sewerage,Canalization,Electricity,Air-conditioner,Gas,Water,water24/7","Furniture,Equipment,Eurowindows,Irondoor,Openbalcony,Tile,Securitysystem,Sunny,View,Roadside,Closetothebusstation,Playground,Park",https://myrealty.am/en/new-build-house-for-rent/Avan-Arinj+2+micro/Avan/Yerevan/118904,0,,0,,,for rent,house,bars.am,1,1,0,1,1,1,1,1,0,1,1,1,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,1,0,1,0,1,0,1,1
"Kotayk, Jrvejh, 1th aygegortsakan dist.",Kotayk, Jrvejh, 1th aygegortsakan dist.,2000.0,534,800,6,2,3,Stone,2.8,Good,10.02.2022,10.02.2022,08.05.2022,53.7266683,-127.6476205,"Area G (Morice Valley/Babine Valley), Regional District of Bulkley-Nechako, British Columbia, V0J 2Y0, Canada","Heating,Internet,Hotwater,Irrigation,Sewerage,Canalization,Electricity,Gas,Water,water24/7","Furniture,Equipment,Fireplace,Eurowindows,Openbalcony,Swimmingpool,Sunny,Park,Gate",https://myrealty.am/en/house-for-rent/1th+aygegortsakan++dist./Jrvejh/Kotayk/118817,0,,1,,,for rent,house,bars.am,0,1,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0
"Yerevan, Avan, Tsarav Aghbyur St",Yerevan, Avan, Tsarav Aghbyur St,2200.0,668,60,4,2,3,Stone,3.2,Newly repaired,09.02.2022,23.03.2022,08.05.2022,40.215894,44.5563975,"139, Ծարավ Աղբյուրի փողոց, Ավան, Երևան, 0040, Հայաստան","Heating,Internet,Hotwater,Electricity,Air-conditioner,Gas,Water,water24/7","Furniture,Equipment,Eurowindows,Irondoor,Openbalcony,Tile,Laminateflooring,Securitysystem,Sunny,View,Parking",https://myrealty.am/en/new-build-house-for-rent/Tsarav+Aghbyur+St/Avan/Yerevan/118771,0,,0,,,for rent,house,myrealty.am,1,0,0,1,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,1,0,1,0,1,1
"Yerevan, Center, Aygestan 6th street",Yerevan, Center, Aygestan 6th street,4000.0,668,600,6,2,5,Stone,3.0,Newly repaired,01.02.2022,01.02.2022,08.05.2022,40.151399,44.4908631,"16, Գարեգին Նժդեհի փողոց, Վերին Շենգավիթ, Շենգավիթ, Երևան, 0006, Հայաստան","Heating,Internet,Hotwater,Electricity,Air-conditioner,Centralheating,Gas,Water,water24/7","Furniture,Equipment,Eurowindows,Grating,Irondoor,Openbalcony,Storageroom,Tile,Laminateflooring,Parquet,Swimmingpool,Sunny,View,Roadside,Closetothebusstation,Parking,Garage,Playground,Park,Gate,Fence",https://myrealty.am/en/house-for-rent/Aygestan+6th+street/Center/Yerevan/118510,0,,0,,,for rent,house,myrealty.am,1,0,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0,1,0,1,1,1,0,1,1,1,1,0,0,0,0,1,1,0,1,1,1,1,1,1,0,0,1,1,1,1,1
